Order_date,number_of_pallet,Nb_of_colli,Workload(hrs),Total_number_of_pallet,Number_of_orders,order_freq,day,month,week,quarter
2023-01-06,113.0,1694.0,165.91,147.0,2316,medium,6,1,1,1
2023-01-09,1566.0,2569.0,977.84,1617.0,4220,high,9,1,2,1
2023-01-10,458.0,1669.0,352.88,491.0,3849,high,10,1,2,1
2023-01-11,620.0,2820.0,507.92,676.0,4660,high,11,1,2,1
2023-01-12,329.0,1478.0,270.92,359.0,2416,medium,12,1,2,1
2023-01-13,759.0,1774.0,529.76,794.0,5585,high,13,1,2,1
2023-01-16,1275.0,2662.0,833.78,1328.0,4074,high,16,1,3,1
2023-01-17,440.0,1917.0,353.16,478.0,3122,medium,17,1,3,1
2023-01-18,280.0,2503.0,318.06,330.0,3884,high,18,1,3,1
2023-01-19,152.0,2682.0,250.79,206.0,3784,high,19,1,3,1
2023-01-20,2376.0,2348.0,1380.3,2423.0,3746,high,20,1,3,1
2023-01-23,779.0,2078.0,543.7,821.0,3359,medium,23,1,4,1
2023-01-24,186.0,2978.0,287.46,246.0,4331,high,24,1,4,1
2023-01-25,102.0,1995.0,196.22,142.0,3957,high,25,1,4,1
2023-01-26,93.0,2235.0,198.14,138.0,3656,high,26,1,4,1
2023-01-30,1391.0,3397.0,934.77,1459.0,4855,high,30,1,5,1
2023-01-31,269.0,2179.0,287.17,313.0,3140,medium,31,1,5,1
2023-02-02,150.0,2782.0,259.93,206.0,4913,high,2,2,5,1
2023-02-03,209.0,2180.0,252.32,253.0,3873,high,3,2,5,1
2023-02-06,1094.0,2594.0,731.14,1146.0,3452,medium,6,2,6,1
2023-02-07,191.0,2605.0,267.64,243.0,4049,high,7,2,6,1
2023-02-08,260.0,1938.0,262.78,299.0,2768,medium,8,2,6,1
2023-02-10,268.0,1888.0,276.06,306.0,4826,high,10,2,6,1
2023-02-13,943.0,2651.0,660.34,996.0,4262,high,13,2,7,1
2023-02-14,174.0,2371.0,246.58,221.0,4056,high,14,2,7,1
2023-02-15,160.0,1841.0,208.79,197.0,3128,medium,15,2,7,1
2023-02-16,241.0,2342.0,267.13,288.0,2590,medium,16,2,7,1
2023-02-17,518.0,1982.0,399.93,558.0,3818,high,17,2,7,1
2023-02-20,119.0,2130.0,200.7,162.0,3214,medium,20,2,8,1
2023-02-22,200.0,1645.0,210.62,233.0,2196,medium,22,2,8,1
2023-02-23,568.0,1979.0,426.27,608.0,2772,medium,23,2,8,1
2023-02-24,219.0,2307.0,269.59,265.0,5373,high,24,2,8,1
2023-02-27,1657.0,1930.0,990.19,1696.0,4002,high,27,2,9,1
2023-02-28,702.0,2158.0,513.22,745.0,3404,medium,28,2,9,1
2023-03-01,47.0,3358.0,236.08,114.0,4110,high,1,3,9,1
2023-03-02,635.0,1694.0,440.34,669.0,2571,medium,2,3,9,1
2023-03-03,352.0,1917.0,307.23,390.0,3342,medium,3,3,9,1
2023-03-06,414.0,2443.0,372.08,463.0,3917,high,6,3,10,1
2023-03-07,675.0,2344.0,497.79,722.0,3369,medium,7,3,10,1
2023-03-08,249.0,3784.0,352.41,325.0,3922,high,8,3,10,1
2023-03-09,203.0,1629.0,215.79,236.0,2497,medium,9,3,10,1
2023-03-10,755.0,1880.0,520.0,793.0,4284,high,10,3,10,1
2023-03-13,1627.0,2387.0,1002.61,1675.0,5145,high,13,3,11,1
2023-03-14,147.0,2854.0,258.44,204.0,4128,high,14,3,11,1
2023-03-15,464.0,2056.0,387.01,505.0,3367,medium,15,3,11,1
2023-03-16,107.0,2056.0,190.87,148.0,3071,medium,16,3,11,1
2023-03-17,269.0,1775.0,255.85,304.0,3049,medium,17,3,11,1
2023-03-20,204.0,1515.0,212.08,234.0,2942,medium,20,3,12,1
2023-03-21,180.0,2056.0,224.5,221.0,2637,medium,21,3,12,1
2023-03-22,338.0,2254.0,323.04,383.0,3330,medium,22,3,12,1
2023-03-23,193.0,1662.0,210.73,226.0,2297,medium,23,3,12,1
2023-03-24,482.0,1576.0,355.76,514.0,3231,medium,24,3,12,1
2023-03-27,348.0,2264.0,340.26,393.0,4930,high,27,3,13,1
2023-03-28,197.0,2597.0,277.8,249.0,5414,high,28,3,13,1
2023-03-29,396.0,1290.0,297.09,422.0,2586,medium,29,3,13,1
2023-03-30,394.0,2082.0,331.98,436.0,2371,medium,30,3,13,1
2023-03-31,112.0,1543.0,165.18,143.0,3470,medium,31,3,13,1
2023-04-03,345.0,3148.0,383.47,408.0,4011,high,3,4,14,2
2023-04-04,106.0,2187.0,197.07,150.0,3151,medium,4,4,14,2
2023-04-06,497.0,1638.0,368.72,530.0,3133,medium,6,4,14,2
2023-04-07,449.0,1955.0,376.38,488.0,5913,high,7,4,14,2
2023-04-11,249.0,1907.0,248.32,287.0,2378,medium,11,4,15,2
2023-04-12,95.0,1556.0,154.15,126.0,2455,medium,12,4,15,2
2023-04-13,164.0,1762.0,194.27,199.0,2039,medium,13,4,15,2
2023-04-14,139.0,1815.0,188.4,175.0,2825,medium,14,4,15,2
2023-04-17,201.0,2229.0,251.84,246.0,3132,medium,17,4,16,2
2023-04-18,210.0,1586.0,213.36,242.0,2640,medium,18,4,16,2
2023-04-19,436.0,1490.0,328.64,466.0,3037,medium,19,4,16,2
2023-04-20,114.0,1821.0,174.01,150.0,2141,medium,20,4,16,2
2023-04-21,214.0,1384.0,209.13,242.0,3705,high,21,4,16,2
2023-04-24,615.0,2271.0,467.73,660.0,4101,high,24,4,17,2
2023-04-25,275.0,2039.0,278.65,316.0,3346,medium,25,4,17,2
2023-04-26,293.0,1883.0,279.11,331.0,3448,medium,26,4,17,2
2023-04-27,511.0,1355.0,360.2,538.0,3021,medium,27,4,17,2
2023-04-28,866.0,2098.0,600.2,908.0,5196,high,28,4,17,2
2023-05-02,244.0,2854.0,307.47,301.0,3959,high,2,5,18,2
2023-05-04,307.0,2106.0,294.14,349.0,3003,medium,4,5,18,2
